Actual,Predicted
121.41999816894534,124.692825
116.36000061035158,124.06976
121.08999633789061,122.854065
119.9800033569336,122.25349
121.95999908447264,121.841515
121.02999877929688,121.877464
123.9899978637695,121.97582
125.56999969482422,122.533165
124.76000213623048,123.447365
120.52999877929688,124.27379
119.98999786376952,124.32202
123.38999938964845,123.93783
122.54000091552733,123.90284
120.08999633789064,123.89136
120.58999633789061,123.53577
121.20999908447266,123.15371
121.38999938964844,122.900444
119.90000152587892,122.76705
122.1500015258789,122.48989
123.0,122.52367
125.90000152587892,122.81354
126.20999908447266,123.607796
127.9000015258789,124.55923
130.36000061035156,125.6985
133.0,127.11814
131.24000549316406,128.84332
134.42999267578125,130.18748
132.02999877929688,131.63918
134.5,132.55324
134.16000366210938,133.45853
134.83999633789062,134.15811
133.11000061035156,134.75836
133.5,134.96014
131.94000244140625,135.00998
134.32000732421875,134.7439
134.72000122070312,134.72679
134.38999938964844,134.8721
133.5800018310547,135.02196
133.47999572753906,135.03497
131.4600067138672,134.97238
132.5399932861328,134.58492
127.8499984741211,134.27263
128.10000610351562,133.34029
129.74000549316406,132.31595
130.2100067138672,131.63477
126.84999847412108,131.274
125.91000366210938,130.62022
122.7699966430664,129.80634
124.97000122070311,128.57788
127.4499969482422,127.67274
126.26999664306639,127.40358
124.8499984741211,127.28914
124.69000244140624,127.06589
127.30999755859375,126.8106
125.43000030517578,126.96559
127.0999984741211,127.001755
126.90000152587889,127.23536
126.84999847412108,127.490234
125.27999877929688,127.712944
124.61000061035156,127.65689
124.27999877929688,127.38648
125.05999755859376,127.00692
123.54000091552734,126.74528
125.88999938964844,126.34746
125.90000152587892,126.29681
126.73999786376953,126.40599
127.12999725341795,126.70043
126.11000061035158,127.09433
127.3499984741211,127.32707
130.47999572753906,127.63949
129.63999938964844,128.3996
130.14999389648438,129.12001
131.7899932861328,129.79866
130.4600067138672,130.59874
132.3000030517578,131.13306
133.97999572753906,131.74371
133.6999969482422,132.53786
133.41000366210938,133.25069
133.11000061035156,133.77948
134.77999877929688,134.10034
136.3300018310547,134.52374
136.9600067138672,135.15164
137.27000427246094,135.86778
